User_screen_name,User_name,Location,Created_at,Followers_count,Friend_count,Favourites_count,Language,Protected,Time_zone,Verified,Statuses_count,Url,Description
MordiOfficial,Joel Mordi 🏳️‍🌈,"Uk,USA,Africa,Europe,Canada",2010-09-09 8:15:34,230697,79654,0,,FALSE,,FALSE,76691,https://t.co/AeTiin2cUC,"SocialWorker|Visionary|Altruist|Storyteller|Explorer|Lover of People,Health Advocate,Social B/Vlogger #SDGs ; Founder: @Mif_Nigeria #nonprofit"
MaDailyGistNG,MaDailyGist,"Lagos, Nigeria",2009-10-31 11:44:05,385591,76883,751,,FALSE,,FALSE,720906,https://t.co/A2qmbxyIl8,
MaDailyGistNG,MaDailyGist,"Lagos, Nigeria",2009-10-31 11:44:05,385589,76883,751,,FALSE,,FALSE,720906,https://t.co/A2qmbxyIl8,
kingext,limitless.....,"ánọm, n' ịru gi kịta, kịta",2012-01-03 21:35:49,103786,76572,27,,FALSE,,FALSE,2516,,"incredible optimism & stunning disposition. ńdị ńké-mu si; ó jị ónyé n' ání, jị ónwé ya. échéfuná ókwu-á, ńdị-east"
DONJAZZY,ITS DONJAZZY AGAIN😉,MAVIN HQ,2009-07-05 2:26:44,4882427,70521,1934,,FALSE,,TRUE,70182,https://t.co/qn3OB0lPfP,
MTN180,MTN Nigeria Support,Nigeria,2012-06-18 12:05:21,343180,66727,4204,,FALSE,,TRUE,449509,http://t.co/Txv3J3uAUH,"We're the MTN Nigeria online customer service team. We're here to help, listen and learn from MyCustomer,so send us a tweet!"
Itz_Konani,TREND KING🔥🔥,,2013-04-05 15:55:02,97035,61697,691,,FALSE,,FALSE,368825,,"Digital Marketer | Cell Leader | I travail in Threads until Christ be formed in you | The Light | BLW Nation | 

☎08186032586 : 📧Masterkonani@gmail.com"
Naijablogger,Samuel Naijablogger,"Ireland (Day), Lagos (Night)",2009-09-10 12:43:35,127498,59275,1557,,FALSE,,FALSE,205769,https://t.co/MdQH0AWHbZ,"MSc Applied Digital Media.
📈 Blogger, Media Strategist & Influencer. 
For Ads & Publicity : +2348131517566 
| DATE360 BLOG | SamuelNaijablogger@Gmail.com"
Twinsaffair,Twins Affair,"Lagos, Nigeria",2010-12-23 12:27:35,93981,57044,8,,FALSE,,TRUE,578,https://t.co/8YIUb8dhy7,"Award winning music producers. For production bookings, call +2348038403230"
PoojaMedia,POOJA...,Nigeria,2012-01-12 9:32:10,68274,55828,3518,,FALSE,,FALSE,176781,https://t.co/bc2QF0hhj5,"Digital Solutions | Creates Engaging Contents | Creative Photographer | YouTuber | Sports Comics | Publisher, https://t.co/l5rTQokC7d | Poojamediacomms@gmail.com"
mrasaj,Mr Asa,Africa,2011-10-18 15:55:44,231599,55703,180,,FALSE,,FALSE,787889,,Severity is the price we pay for greatness...
nollywoodtweets,Nollywood Tweets,"Lagos, Nigeria",2009-10-03 8:54:49,180631,50645,10,,FALSE,,FALSE,214207,https://t.co/MKd7xXseM4,The Official Twitter Account of Nollywood by Mindspace. Email: nollywoodmindspace@gmail.com. Tel: +2348155104496
dappyboy0489,Dapo Osuntuyi,Trending on your TL,2011-03-08 21:26:56,146470,48851,358,,FALSE,,FALSE,206093,https://t.co/HIzWLbbOKN,I am a god
SmilesParker,The God’s Pride,Worldwide,2014-10-02 18:21:31,97744,48628,528,,FALSE,,FALSE,23541,https://t.co/9uiJfzJP5v,Founder @ZEROhepNigeria | Data Analyst  | Film Maker | Hepatitis Awareness Advocate | Citizen Of The World | Traveller
AlHaill_RSA,A king does not take orders  🐻,"Johannesburg, South Africa",2013-06-17 7:29:45,48941,47883,174685,,FALSE,,FALSE,192862,https://t.co/ey3PlLQlHu,Entrepreneur \Google Certified Digital Marketer \#AfricaDrive_ #influencer Director for @keystoneDM @AfricaDrive_ \ #Twitter \ Reach Me - Vusilzjian@iCloud.com
latest_naija,LatestNaija.com,Online Music & Video Platform.,2012-02-03 20:39:50,67251,46760,0,,FALSE,,FALSE,16309,http://t.co/9NCups9mzw,#teamfollowback Surf the website!! (http://t.co/IOPrm4J3hE) For Enquires: latestnaija@yahoo.com
TosinOlugbenga,Tosin Olugbenga,"Lagos, Nigeria",2012-08-06 13:56:16,79424,44484,331,,FALSE,,FALSE,95340,,"Data Engineer | Data Scientist |
Software (Web & Mobile App) Developer |
Product Management Consultant | 
StartUp Advisor| CTO: @InvestaNigeria @TheCitademy"
SeyipEteRs_,𝚜𝙿𝚎𝙴,,2011-06-17 19:22:40,125483,44283,170,,FALSE,,FALSE,67254,,𝙰𝚌𝚝𝚘𝚛 + 𝙲𝚘𝚗𝚝𝚎𝚗𝚝 𝙼𝚐𝚝 𝙴𝚡𝚎 @𝙾𝚙𝚎𝚛𝚊𝙽𝚎𝚠𝚜𝙽𝙶
KingAbsoIute,Chibuzo 'KingAbsolute',Worldwide,2017-08-15 1:00:48,49996,43068,1173,,FALSE,,FALSE,19640,https://t.co/VvomhljWLR,Graphics Designer • SM Marketing • Twittrepreneur • Techie • Music/Movie • Igbo • @DMM_Nigeria @dmpnig • #LFC #YNWA
Mp3bullet,Mp3Bullet.ng,"Nigeria,Worldwide",2013-01-04 21:41:26,135406,39965,176,,FALSE,,TRUE,3420,https://t.co/XVc5pUg8gS,No. #1 Nigeria's Music Blog | Best Music Blog of the year: 2015 LFE Awards; 2016 L30U40 Awards; 2016 POPA Awards; 2017 MAYA Awards; Email: music@mp3bullet.ng
realoluseyi,Big Brother Naija,Lagos,2014-11-09 17:03:30,47740,37709,6504,,FALSE,,FALSE,64022,https://t.co/l5I04zHX7a,"Follow for interesting and 24/7 updates on #BBNAIJA Lockdown House
Youtube:  (SUBSCRIBE For Daily Giveaway) https://t.co/l5I04zHX7a
If WE FOLLOW YOU KINDLY FOLLOW"
accessbank_help,Access Bank Help,Nigeria,2013-10-30 9:33:21,136416,36493,3427,,FALSE,,TRUE,306966,http://t.co/TXA6B5LNLm,Welcome to @myaccessbank Official Help Twitter Handle. How may we be of service? Please don't publicly tweet your account details.
ThatLankyBoi,LANKY 👑,earth.getLocation();,2017-07-02 0:28:57,75208,35071,98314,,FALSE,,FALSE,39520,https://t.co/8GiRDNYqdU,6'3 | Upcoming Model | Tech Person | i sleep online | Extrovert | Savage Screenshot | DM for promotion | 📩 ThatLankyBoi@gmail | 📱 07064258615 | #BBNaija
leereports,BBNaija 2020,,2011-09-18 1:59:52,38432,34944,3997,,FALSE,,FALSE,16582,,print ('Python Developer. ')
mpiredivine,IG: @MPIREDIVINE 😊,"Lagos, Nigeria.",2010-05-07 23:23:13,43147,33394,2006,,FALSE,,FALSE,80086,https://t.co/SR6v9BuL6P,"Statistics... Singer... Songwriter...
 #TeamCR7
Always Be Yourself... The World may not like it but at least U will be at Peace with yourself."
Diegochuene,Diego_Chuene,Pretoria,2010-03-16 14:36:38,99298,33134,65073,,FALSE,,FALSE,45307,,"For Any Business Promotion and Advertising Service DM Me for rate and prices. 🔥

Let Me Take Your Business To next level

https://t.co/S0dAwFuNCw"
gtbank_help,Guaranty Trust Bank Help,,2012-07-27 18:26:35,217608,33133,102,,FALSE,,TRUE,282830,http://t.co/lLx5AsGlqO,Our DMs are open to everyone. Especially you. Send us a msg with your service/account issues and enquiries for prompt resolution.
tommy_viccetti,Valar Morghulis #BBNaija 👁‍🗨,"Lagos, Nigeria",2011-10-04 17:21:56,50756,33028,106526,,FALSE,,FALSE,124660,https://t.co/yqYuQ8rnaR,Game of Thrones Fanatic | Bibotherapist | Linkin Park ❤️|bamideleviccetti@gmail.com 📧 | iPromote | Manchester United 🔴⚫️ | I love Amala
TWEETORACLE,AURA⭕COOL,"Lagos, Nigeria",2010-03-21 6:38:15,264739,32245,23727,,FALSE,,FALSE,24358,https://t.co/TuQjA5ouOQ,"Winner, Social Media Influencer of the year #AfricaChoiceAwards. #SUPERIONS⭕ by Heart. #BBNaija First Class Commentary. Curator #Top10TweetLists
08168331150"
TWEETORACLE,AURA⭕COOL,"Lagos, Nigeria",2010-03-21 6:38:15,264737,32244,23803,,FALSE,,FALSE,24358,https://t.co/TuQjA5ouOQ,"Winner, Social Media Influencer of the year #AfricaChoiceAwards. #SUPERIONS⭕ by Heart. #BBNaija First Class Commentary. Curator #Top10TweetLists
08168331150"
OlumideIDOWU,Mr. Climate 🇳🇬,Africa,2009-05-18 20:07:41,36587,30536,125249,,FALSE,,FALSE,398710,https://t.co/vWS7hrYY4M,Activist | Environmentalist | Communicator | Social Storyteller | Co-Founder @ClimateWed | Youth FP. @GEF_SGP 🇳🇬 | @AtlasCorps Fellow | @StateIVLP Alumni
Mrtybaba,Commissioner for Dodo and Coca-Cola Affairs,Nigeria,2017-09-09 1:43:18,50795,29798,5,,FALSE,,FALSE,221503,https://t.co/JndYIK45c8,"Father | Husband | Medical Doctor 😷  | Associate @clouthubAfrica   | LifeOfTybaba@gmail.com | +2348084194653 |
  #TeamBarca #TeamMiamiHeat #TalesByAFoodie"
thebiyitudors,Biyi Nifemi Tudors,"Lagos, Nigeria",2013-04-02 11:49:55,33043,28666,12073,,FALSE,,FALSE,9333,https://t.co/wijQugHqYG,"Strategist ||
Influencer Marketing Expert.
hello@thebiyitudors.com"
DeleMomodu,Dele Momodu Ovation,,2009-03-19 4:32:01,1278939,28579,13689,,FALSE,,TRUE,137632,https://t.co/onbihMYJPC,"A teacher, writer, author, publisher, politician, entrepreneur, speaker, actor, mentor, Philanthropist, former Presidential candidate and global citizen!"
sexydjbabylynn,NO1 SEXY DJ BABYLYNN,"London  & NIgeria ,Kenya",2010-11-14 15:47:06,151749,28192,1024,,FALSE,,TRUE,117282,https://t.co/U1gUdq2wkx,"Online Digital Media Expert | Founder Babylynn Entertainment & Promotion Inc |PR |Radio Presenter naijaFMUK |DJ|MultiAward Winner| Promoter |Feat on BenTvUk,TVC"
badniggafela,BAD NIGGA 🦡,BRESS VILLE,2010-05-11 15:07:21,52989,27459,13540,,FALSE,,FALSE,152217,https://t.co/vObAjuEiR6,"Free Talker  | Més Que Un Club 💙♥️ | #Messi #JCole #JheneAiko |   #NschE, Chemical Engineer  |"
maxxyfire,𝗞𝗶𝗻𝗴 𝗠𝗮𝘅𝘅𝘆 🔥,Canada IJN,2017-04-28 7:23:46,39506,26940,2145,,FALSE,,FALSE,49631,https://t.co/17WkD6q0NY,SOCIAL MEDIA PROMOTER • Brand Ambassador • DM For Business/Promos or WhatsApp me using the link in my Bio #BBNaija
zhurg_,Lord Scummander Rtd.,Alternate Universe,2010-11-11 23:41:22,41714,26678,6763,,FALSE,,FALSE,230973,,God knows!...Axios!!🌟 •||• please follow our business page @SmokeNsauceNg . We Make amazing Barbeque 🙏🏻🥰
itsTomiwa,Tomiwa Talabi,"Lagos, Nigeria",2012-05-26 21:43:23,81012,26461,6813,,FALSE,,FALSE,106390,,I help brands grow from building a Digital presence to living rent free in the minds of their Target Audience. 📩 hellotomiwa@gmail.com
Morris_Monye,the Morris Monye factor,"Lagos, Nigeria",2016-06-10 13:24:34,35622,26151,26868,,FALSE,,FALSE,44870,,September 29 / Business Yoda /@Arsenal /maxpaynemonye@gmail.com/ Ogunfe Lover/ 05/08/2018 💔/ Social Prophet.
YinkaPost,Olayinka 🅙,"Lagos, Nigeria",2011-07-21 10:46:20,36825,25601,170,,FALSE,,FALSE,169152,https://t.co/YdW4VdxZBP,Husband || Father to Zidan & Zayaan || Son || Head of Operations @DTroyCopper || mAD Man || RealMadrid 💜|| RTS ❌ ENDORSEMENTS
chiefagbabiaka,Lagos LandLord™ And 36 Tenants #BBNaija🇳🇬🇬🇭,"Ede, Osun state",2011-03-21 22:47:04,63302,25575,54362,,FALSE,,FALSE,255373,,Omo Osun|| Shoe Maker @BROZAYLagos || Farmer 🐣 || #TeamDorathy|| #Dorathians ||#BBNaija || Arsenal Fan || TeamKoredeBello || Toyin Abraham Son|| DM for Promo
Law_Lee,Law Lee #WizkidFC #MARLIANs,Fan Of C. Ronaldo & Man united,2013-01-09 22:50:56,57376,24966,819,,FALSE,,FALSE,219312,,SAIL IN THE PATH OF RICA⛵️☀️ Busy Finger Never lack ⚓️ PR|Brand Manager 🏅MUSIC DISTRIBUTION... 🚀 #WizkidFC #NoMannaz #MARLIANs
iam_bussie,Khal Bussie💙 #BBNAIJA,A/where peace is guaranteed,2010-10-16 17:04:44,40748,22174,422,,FALSE,,FALSE,89274,https://t.co/UdCShGAOyK,A Khal with no horse || #CHELSEA⚽ ||Project lead @megalumous|| Social Commentator|| 📩khalbussie@gmail.com|| #bbnaija
eniola_opeyemi,Eniola Opeyemi,Inside Life,2011-08-06 12:04:00,36185,21883,172120,,FALSE,,FALSE,31821,https://t.co/wkoQxigmhq,"•Public Analyst •Certified Psychologist •Teacher •Youth Advocate •V-Content Creator for @operanewshub | DM for Business•
eniolaopeyemi@gmail.com"
Livenewsng,LiveNews Nigeria,Nigeria,2013-05-22 6:49:33,35233,20404,6327,,FALSE,,FALSE,13260,https://t.co/7EqyDtutJz,Latest News in Nigeria – Breaking News Around The World.
UcheofLagos,Okafor Uchenna Oluwafemi,,2017-06-12 7:59:26,41079,19781,5947,,FALSE,,FALSE,12196,https://t.co/u6Nh9N05q3,Nigerian Based Visual Storyteller | In Love with Tech and Digital Comms. • uchekuse1@gmail.com • IG @Uchekush_ • YT- https://t.co/q50ePM4mC8
TheInfoNG,Theinfong.com,Nigeria,2012-12-04 17:26:32,172022,19226,488,,FALSE,,TRUE,42824,https://t.co/NykKQkMxRz,"Not just for celeb gossip, news, comedy, entertainment & relationship tips, we also follow and INTERACT with YOU. We are humans too."
TheInfoNG,Theinfong.com,Nigeria,2012-12-04 17:26:32,172022,19224,488,,FALSE,,TRUE,42824,https://t.co/NykKQkMxRz,"Not just for celeb gossip, news, comedy, entertainment & relationship tips, we also follow and INTERACT with YOU. We are humans too."
abudujoshh,Zagadat ,"Texas, MI",2011-08-08 22:50:59,33659,18035,254143,,FALSE,,FALSE,98179,https://t.co/cdssFO4w7A,Blogger || open for promotions or ads
LitSego,Kuwaiti Dinar,12,2013-09-06 22:18:48,43703,17736,332410,,FALSE,,FALSE,203646,https://t.co/L5lK1cA6q5,"Too lit to quit • @ChelseaFC • Sports Enthusiast
Email: geemakwe@gmail.com"
SavvyRinu,Rinu The Hustler🔥🔫🎠,Turn On My Notification 💡,2018-04-30 19:55:06,45720,17223,185607,,FALSE,,FALSE,85906,https://t.co/FZPpAmsuGl,Convener #OperationSanitize• Chemist👩‍🔬•Brand Strategy• iVocate 4 Humanity💪• PR 📩 savvyrinu@gmail.com• Your Fav T-Shirt Plug👚@savvybrands_ • #PrinceBBNaija
lotto9jang,Lotto9ja,"Lagos, Nigeria",2017-08-03 17:33:23,33052,17119,345,,FALSE,,FALSE,1150,https://t.co/bC1wSCDmTg,"The Official Twitter account of Lotto9ja. Play 9ja Mega, PadiPadi, Juroye, Mazi and more by choosing lucky numbers. We are here to answer all your questions"
Danny_Walterr,DANNY 👑🎠,"Lagos, Nigeria",2011-09-16 13:38:25,296394,16353,33712,,FALSE,,FALSE,108792,https://t.co/Tf28JJI7G2,Ajebo Hustler | Moi-Moi Addict | No 1 Shoe Plug @shopfeets_ | dannywalterpr@Gmail.com 📱Biz:09011342097 | #TeamPrinceBBN 🎠🎠
RealDreylo,DREYLO▫️,"Lagos, Nigeria",2018-07-25 18:41:28,271673,16306,53600,,FALSE,,FALSE,47664,https://t.co/qVtDF18CSm,I PROMOTE / Multi-Talented Artiste/ Music inclined Entertainment Guru 📩Email: dreylobookings@gmail.com
Naija102FM,NaijaFm 102.7,"Lagos, Nigeria",2011-07-19 11:19:39,457458,15657,15792,,FALSE,,FALSE,325208,https://t.co/ddD2HY0PZn,"Na we b d Original Pidgin station 4 Nigeria (Gbabeski)..We dey give u d groove , d in4mation n education as e corncern every every 4 insyd and outsyd Naija.#Gba"
iSlimfit,Wale Adetona,Nigeria,2009-11-16 3:41:37,137872,15164,3146,,FALSE,,TRUE,97536,https://t.co/5ScRYwxfUs,"Marketing & Strategic Communications Expert | Brand Management | Convener, #LagosDigitalSummit &  #ProjectHumanityNG 


adetonaadewale07@gmail.com"
ameyaw112,Ameyaw Debrah,Ghana,2009-03-31 20:29:23,951846,14498,133616,,FALSE,,TRUE,262419,https://t.co/GDPoysDxXb,I am entertainment & lifestyle! #blogger #Socialmedia #influencer  Funny Guy. #Traveller Creator: @ameyawtv For bookings contact ads@ameyawdebrah.com
UNCLE_AJALA,Zaddy Ajala,Nigeria,2010-07-24 16:11:07,123544,14124,1946,,FALSE,,FALSE,372600,,Expert in Turnkey Projects||Entrepreneur||Architect||Project Manager||Advanced HSE Certified||Digital Publicist||Social/Political commentator.
Audu,AuduMaikori,Nigeria,2008-10-09 17:12:46,93118,13723,10090,,FALSE,,TRUE,52666,https://t.co/duD1Oyddsj,Global Citizen. Pan African. Entrepreneur. Entertainment Lawyer.
weirdmcofficial,Deshola,Nigeria / London,2010-04-19 13:17:35,227208,13648,13226,,FALSE,,FALSE,137106,https://t.co/FBTIAbVsDt,"DeShola PECULIAR, Minister /Christ Steward/Actor/ Writer/0907 Inspire LTD #Giftrete Brand Rep /Scrum Master/Agile PM +447517432247 deshola9@gmail.com"
GOtvKenya,GOtvKenya,,2011-11-01 13:52:10,124641,13204,6039,,FALSE,,TRUE,503560,http://t.co/Cukv0AOJ40,"GOtv, Kenya’s newest pay TV service is dedicated to offering television lovers affordable family entertainment."
Alan_yournextbf,Mr Alan #BBNaija,"Lagos, Nigeria",2019-03-19 17:35:13,71757,12994,60670,,FALSE,,FALSE,75371,https://t.co/GpehjYoO3Z,Twitter is using me.
AYCOMEDIAN,AY COMEDIAN,NIGERIA,2009-10-14 9:25:17,1589509,12598,294,,FALSE,,TRUE,35944,https://t.co/zjKYnb5JcF,"COMEDIAN,TV SHOW HOST, WRITER, PUBLISHER, ACTOR, DIRECTOR & PRODUCER"
SomtoSocial,Somto #BBNaija 🚨 🇳🇬,"Nigeria, Ghana, UK.",2017-06-25 4:10:24,96387,12363,375,,FALSE,,FALSE,19336,,"Dad 📍 Digital Entrepreneur, Artiste Relations Expert and Business man. #GGMU. SomtoSocial@Gmail.con"
aphroDIJA,Di'Ja 🇳🇬🇸🇱,Worldwide,2009-05-23 3:53:41,303733,11847,716,,FALSE,,TRUE,8591,https://t.co/WFQ037zDpM,MAVIN RECORDS salmaolo1@icloud.com
Baldilocks__,Baldilocks,Sol III,2019-04-05 7:20:10,50816,11816,5030,,FALSE,,FALSE,14819,,"It's not your job to like me, it's mine."
V_eektorr,♔BlvckboySavage♔,Inside your account balance,2013-12-24 23:43:35,48000,11814,31471,,FALSE,,FALSE,70430,https://t.co/4Q7zS8TsOT,"God| Money | Breasts | Money | Davido | 30BG | Wizkid 🙂

I love good music/artists."
GloCare,Glo Nigeria Customer Care,,2013-03-26 9:56:25,271577,11583,182,,FALSE,,TRUE,251344,https://t.co/osfc5sIXaW,"Welcome to the Glo Customer Care on Twitter. We care about our customers. Send in your enquries, complaints and requests."
iamAbiodunAA,i Develop Websites™ 👨🏽‍💻 🅙,"Lagos, 🇳🇬| 0125759019 GTBank",2014-09-22 10:47:55,57068,11069,51403,,FALSE,,FALSE,56177,https://t.co/TIAUimKimK,PR | iCode | iDev | iDesign | iLearn | WEBSITE Developer • Dev @Arabcreations_  @Pantonsconcept • DM for Biz or 📩 adelekeabiodun8@gmail.com | 📞08130858362
labbymedia,💡💡#Laycon #iCon 's Defender 💡💡,Nigeria,2015-04-13 10:46:50,51710,10798,6899,,FALSE,,FALSE,30389,https://t.co/evgpfoRfA9,"Welfare director @DMPNig, Media Personnel, Brand Influencer|PR Agency | Strategist| Page Manager labbymedia@gmail.com +2348075278382"
dammiedammie35,Oyindamola🧔,Ibadan,2018-01-31 13:34:34,40719,10649,142420,,FALSE,,FALSE,142466,https://t.co/ndtmchxXwr,"Hey are for horses,try Hi or Hello | Activist |#MUFC|PSYCHOLOGIST| REAL ESTATE “We do Ads and Promos too 🌝”"
TheOladeile,Ọládélé 🖤❤💙,"Lagos, Nigeria",2015-03-21 15:32:32,69476,10321,3379,,FALSE,,FALSE,52844,https://t.co/eGclPnHYsM,"Mr Comparison, Twitter  | Building the next tech startup @kreatengafrica & @motocareng | Webmaster at @redeemersuni & @acegid"
1real_asap,Flacko,,2019-07-08 22:14:38,51918,10179,25580,,FALSE,,FALSE,105908,,I don’t know my tweets.
Harryolah,Your Ex #BBNaija 🕺,Check my likes for my tweets.❤,2014-10-10 5:47:16,78115,10003,21618,,FALSE,,FALSE,164024,https://t.co/RDTYyHqWhB,• Thin & Tall •  You're the product of your own thoughts • dm or mail exmediaola@gmail.com for promotion
zataarra,ZATARRA🤴,"Lagos, Nigeria",2019-10-07 7:21:15,33863,9965,93797,,FALSE,,FALSE,40337,https://t.co/DxT8TtWJQb,Dancer🕺 || DM for promotions and adverts!!!💯 DM only for business or send a mail: officialzatarra@gmail.com
Blackdotmandy,BDM | Blogger,Benin City/ Sapele/Warri,2012-03-03 9:58:40,55506,9962,2410,,FALSE,,FALSE,160118,https://t.co/lxWjkvy9Ku,Omawumi. let your chaos explode | PR | blogger | writer| social media strategist and digital marketer | Traveler #GiveAGirlChildAPadBenin
theNETng,NET,Nigeria,2009-10-23 15:43:35,48469,9344,2240,,FALSE,,TRUE,91473,https://t.co/yGypixYTAd,"The world’s #1 source for African entertainment. Since Nov 23, 2009. Follow our friends: @orin247, @234Star_, @Neusroom. 📧: contact@thenet.ng."
_AdukeAde,Item7🌹: The Sucre Mamacita💦,Nigeria,2011-10-16 14:30:34,71043,9343,24461,,FALSE,,FALSE,62275,https://t.co/oN50250tf2,Youtuber || ashirfaridah98@gmail.com
cutekimani,Estol Africa,Africa,2010-07-18 18:40:08,46632,9187,5363,,FALSE,,FALSE,179361,https://t.co/9GAXWxWAYb,"Award winning Media Entrepreneur

Managing Partner @EstolAfrica 
Founder #KimaniOffAir 
Exec @MeetsMedia

 PR  @fireboydml 🌍 @Ruthkadiri"
MeetHajaar,FUTURE BILLIONAIRE,I am where i am .,2011-08-16 16:49:19,36040,9052,1192,,FALSE,,FALSE,169059,https://t.co/vY1RjvRHfI,•styleblogger• fashion enthusiast• chartered ADR Secretary/Registrar•Writer/online Author of three online Books)• Instagram; @meethajaar
the_olaoflagos,Ọkọ Jemima Ọsunde 💦,Cruise Altitude 🛫,2019-01-15 16:32:09,42458,8881,98142,,FALSE,,FALSE,111066,https://t.co/8MTf49b45i,عبد الفتاح | Digital Marketer | iPhotograph 📸 | iDesign logos | DM for Promo/Business ads; 📧 theolaoflagos@gmail.com
THEBEAT999FM,THE BEAT 99.9FM,"Lagos, Nigeria",2009-07-01 20:01:03,2176586,8798,2214,,FALSE,,TRUE,571566,https://t.co/jsHZJECAqi,"THE BEAT 99.9FM is The station to tune to at home, in the car, at work and online. A full-service station with entertainment, news, sports and exciting shows."
MI_Abaga,Yung denzL,,2009-06-24 7:47:30,1649815,8685,16063,,FALSE,,TRUE,38690,https://t.co/j7JCEnuENU,Judah EP
JAYWONJUWONLO,Ājé Daddy,"Lagos, Nigeria",2010-03-20 13:36:37,303270,8659,13288,,FALSE,,TRUE,92826,https://t.co/ZIjGg4edZk,🔊 Aje The Mixtape Out Now 👉🏻 https://t.co/ZIjGg4edZk Bookings: bookjaywon@gmail.com 👻: jaywonjuwonlo
pengmanmodel,Peng Man 🔥,Lagos/Manchester,2009-11-13 16:27:24,48447,8349,386384,,FALSE,,FALSE,213884,https://t.co/xPHAaEBPqH,Model / VJ / New Age #Influencer / ALPHA MALE || Creative Head @tlmurban @5klogosdesign || Follow my IG - https://t.co/QxBt35T3Tn ||SC 👻 mj-sniper
___FAREED,𝔽𝔸ℝ𝔼𝔼𝔻,"Maiduguri, Nigeria",2015-03-30 10:54:25,113136,7995,65571,,FALSE,,FALSE,58917,https://t.co/qbYdOUaCjn,Social Media marketer | The only person on Twitter who doesn’t claim to be a social media influencer.
Nappyblaze,ERICA 👑,,2010-04-16 15:47:51,34218,7660,72569,,FALSE,,FALSE,73496,,#BBNaija Season 5 Housemate | Queen 👑 | Brand promoter | Content creator | Fan Page ❤ #TeamErica
OloriSupergal,#BBNaijaLockdown,"Lagos, Nigeria",2009-08-29 13:14:39,154239,7371,8036,,FALSE,,TRUE,430222,https://t.co/4Vy2Jvy0zr,"Entertainment/Lifestyle page | Ads - hello@olorisupergal.com | 
RTs not endorsement"
dareynow,Darey Art Alade,"Lagos, Nigeria",2009-02-21 9:43:19,695146,7357,3071,,FALSE,,FALSE,59655,https://t.co/VkXet92Z7k,"Artist, Chief Creative Director @livespot360 Music: iTunes https://t.co/6lUp4QS6ti Bookings: +2348092222247"
vikiing_,SavageKing♔,,2019-10-05 18:06:00,40502,7326,131134,,FALSE,,FALSE,163628,https://t.co/5yjRUBQ7aa,
